"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.540198167E0,-8.524139404E0,1.644862747E1,-4.848005676E1
7.589810167E0,-9.015380859E0,1.636751175E1,-4.882492065E1
7.639423167E0,-9.221313477E0,1.639622879E1,-4.878604126E1
7.689036167E0,-8.642379761E0,1.656966019E1,-4.862652588E1
7.738648167E0,-8.251296997E0,1.646062851E1,-4.918052673E1
7.788261167E0,-8.124145508E0,1.588657761E1,-4.902055359E1
7.837873167E0,-7.975967407E0,1.590739822E1,-4.907910156E1
7.887486167E0,-8.000259399E0,1.571398544E1,-4.977493286E1
7.937098167E0,-8.209030151E0,1.628895950E1,-4.914186096E1
7.986711167E0,-7.638717651E0,1.612017441E1,-4.928700256E1
8.036323167E0,-7.989273071E0,1.637485886E1,-4.957994080E1
8.085936167E0,-8.386154175E0,1.652994156E1,-4.889704895E1
8.135548167E0,-8.666244507E0,1.591591263E1,-4.918351746E1
8.185160917E0,-8.732604980E0,1.602325058E1,-4.917036438E1
8.234773917E0,-8.346862793E0,1.563919449E1,-4.951158142E1
8.284385917E0,-8.064437866E0,1.546223831E1,-4.954376221E1
8.333998917E0,-7.810745239E0,1.528834915E1,-4.943338013E1
8.383610917E0,-7.794692993E0,1.509620285E1,-4.965252686E1
8.433223917E0,-7.967758179E0,1.493993759E1,-4.933155823E1
8.482835917E0,-8.041046143E0,1.498310471E1,-4.950177002E1
8.532448917E0,-8.397293091E0,1.487696457E1,-4.915312195E1
8.582060917E0,-8.577880859E0,1.496236801E1,-4.943127441E1
8.631673917E0,-8.211273193E0,1.482165909E1,-4.957652283E1
8.681285917E0,-8.203964233E0,1.496409988E1,-4.979693604E1
8.730898917E0,-8.218185425E0,1.485802841E1,-5.013296509E1
8.780510917E0,-8.498931885E0,1.462350845E1,-4.976702881E1
8.830123917E0,-8.582077026E0,1.469210434E1,-4.982411194E1
8.879735917E0,-8.995651245E0,1.496783066E1,-4.968328857E1
8.929348917E0,-8.498748779E0,1.446019363E1,-5.027799988E1
8.978961917E0,-8.313125610E0,1.488536453E1,-4.979177856E1
9.028573917E0,-8.519226074E0,1.474518204E1,-5.001536560E1
9.078186917E0,-8.708816528E0,1.469988632E1,-4.966239929E1
9.127798917E0,-8.513244629E0,1.436473465E1,-5.056062317E1
9.177411625E0,-8.655258179E0,1.428403091E1,-5.083987427E1
9.227023625E0,-8.689285278E0,1.403171921E1,-4.980461121E1
9.276636625E0,-8.823074341E0,1.389399338E1,-5.053649902E1
9.326248625E0,-8.798248291E0,1.425519943E1,-4.992926025E1
9.375861625E0,-8.779891968E0,1.397887802E1,-5.012658691E1
9.425473625E0,-8.465316772E0,1.413772202E1,-4.967378235E1
9.475086625E0,-8.411926270E0,1.416427231E1,-5.000816345E1
9.524698625E0,-8.335266113E0,1.424245071E1,-4.917671204E1
9.574311625E0,-8.448547363E0,1.462020493E1,-4.936096191E1
9.623923625E0,-8.456405640E0,1.431917953E1,-4.984149170E1
9.673536625E0,-8.477050781E0,1.464729691E1,-4.966178894E1
9.723148625E0,-8.684677124E0,1.472315598E1,-5.011253357E1
