"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.096453608E1,1.790277100E-1,1.275347900E-1,9.752369843E0
1.101454308E1,-6.855743408E-2,1.288819885E-1,9.943672028E0
1.106454996E1,2.110610962E-1,1.019380188E-1,9.566606140E0
1.111455696E1,6.511459351E-2,2.113604736E-1,1.021415955E1
1.116456396E1,1.815724182E-1,1.389111328E-1,9.548493805E0
1.121457096E1,-4.670288086E-2,1.440005493E-1,1.007779312E1
1.126457796E1,3.390449524E-1,2.607577515E-1,9.763297119E0
1.131458496E1,9.370513916E-2,1.038839722E-1,9.937684479E0
1.136459196E1,1.152603149E-1,2.077679443E-1,9.786648560E0
1.141459896E1,1.562750244E-1,1.655557251E-1,9.759105835E0
1.146460596E1,1.278341675E-1,1.520837402E-1,1.010982651E1
1.151461296E1,9.565109253E-2,2.272274780E-1,9.624535675E0
1.156461996E1,1.827699280E-1,6.601272583E-2,9.837093658E0
1.161462696E1,3.076103210E-1,1.887574768E-1,9.910590820E0
1.166463396E1,4.041595459E-2,1.001417542E-1,9.803713074E0
1.171463996E1,1.496887207E-1,2.016307068E-1,1.005204666E1
1.176464696E1,2.582130432E-1,4.311035156E-2,9.721683655E0
1.181465396E1,1.362167358E-1,1.778302002E-1,1.003752686E1
1.186466096E1,4.131408691E-2,5.538482666E-2,9.699529724E0
1.191466796E1,2.091151428E-1,1.181044006E-1,1.001552261E1
1.196467496E1,1.725910950E-1,6.346801758E-2,9.593550110E0
1.201468196E1,4.086502075E-2,2.408491516E-1,1.016461258E1
1.206468896E1,2.013313293E-1,7.289840698E-2,9.671388245E0
1.211469596E1,2.859054565E-1,1.526824951E-1,9.823172607E0
1.216470196E1,2.537223816E-1,1.502874756E-1,9.815987549E0
1.221470896E1,4.281097412E-2,2.064207458E-1,9.879006500E0
1.226471596E1,2.604583740E-1,3.070115662E-1,9.989476776E0
1.231472296E1,1.734892273E-1,1.206491089E-1,9.819879456E0
1.236472996E1,2.070195007E-1,1.787283325E-1,9.968969421E0
1.241473696E1,1.276844788E-1,1.281335449E-1,9.746531982E0
1.246474396E1,1.917512512E-1,1.700463867E-1,9.952204285E0
1.251474996E1,2.636018372E-1,1.484912109E-1,9.826316071E0
1.256475696E1,-6.301895142E-2,1.917512512E-1,9.977950745E0
1.261476396E1,3.171903992E-1,2.326162720E-1,9.761949921E0
1.266477096E1,4.206253052E-2,7.903564453E-2,9.838889923E0
1.271477796E1,3.336561584E-1,2.070195007E-1,9.947114868E0
1.276478496E1,8.337661743E-2,2.031275940E-1,9.747280426E0
1.281479096E1,2.034269714E-1,2.309696960E-1,1.002510269E1
1.286479796E1,5.328918457E-2,1.919009399E-1,9.796827393E0
1.291480496E1,5.957611084E-2,1.243913269E-1,9.987830200E0
1.296481196E1,2.230361938E-1,7.858657837E-2,9.748927002E0
1.301481796E1,4.760101318E-2,1.697470093E-1,9.905501404E0
1.306482533E1,1.281335449E-1,2.329156494E-1,9.770332489E0
1.311483233E1,1.935475159E-1,1.070274353E-1,9.896220703E0
1.316483933E1,-5.583389282E-2,9.475296021E-2,9.808952179E0
1.321484533E1,3.477268982E-1,2.389031982E-1,9.886790314E0
1.326485233E1,-2.439926147E-2,1.996847534E-1,9.728868713E0
1.331485933E1,1.757345581E-1,4.700225830E-2,9.769284668E0
1.336486633E1,1.001417542E-1,2.077679443E-1,9.816885681E0
1.341487233E1,-9.325607300E-2,8.532257080E-2,9.900112610E0
1.346487933E1,3.637435913E-1,2.392025757E-1,9.867330780E0
1.351488633E1,4.610412598E-2,6.631210327E-2,9.793683929E0
1.356489333E1,2.073188782E-1,2.450404358E-1,1.006566833E1
1.361489933E1,6.780899048E-2,6.391708374E-2,9.593550110E0
1.366490633E1,1.860630798E-1,1.945953369E-1,1.002525238E1
1.371491333E1,1.176553345E-1,2.754272461E-2,9.529483337E0
1.376491933E1,1.576222229E-1,3.213816833E-1,1.010758118E1
1.381492633E1,1.082249451E-1,5.882766724E-2,9.846673737E0
1.386493333E1,5.658233643E-2,2.746788025E-1,1.022912842E1
1.391493933E1,3.245251465E-1,1.257385254E-1,9.746831360E0
1.396494633E1,-1.932481384E-1,9.639953613E-2,9.704170074E0
1.401495333E1,3.894900513E-1,2.900967407E-1,9.917626190E0
1.406495963E1,-1.642085266E-1,8.996292114E-2,9.794582062E0
1.411496662E1,1.589694214E-1,2.415975952E-1,9.891131287E0
1.416497362E1,-5.748046875E-2,1.827699280E-1,9.727970581E0
1.421497962E1,1.871109009E-1,2.284249878E-1,9.887389069E0
1.426498662E1,3.832031250E-2,1.004411316E-1,9.698182526E0
1.431499363E1,1.299298096E-1,2.643502808E-1,1.007734406E1
1.436499962E1,1.758842468E-1,2.938389587E-1,9.672585754E0
1.441500663E1,-1.317260742E-1,1.570234680E-1,1.008901978E1
1.446501262E1,7.484436035E-2,2.348616028E-1,1.001672012E1
1.451501962E1,4.011657715E-2,1.857637024E-1,9.736203461E0
1.456502662E1,9.460327148E-2,3.001258850E-1,9.995164948E0
1.461503262E1,2.814147949E-2,1.794767761E-1,1.002899460E1
1.466503963E1,1.064286804E-1,1.302291870E-1,9.733059998E0
1.471504562E1,3.817062378E-2,1.883084106E-1,9.841284943E0
1.476505262E1,3.353027344E-2,2.145039368E-1,9.960437164E0
1.481505862E1,1.146615601E-1,2.682421875E-1,9.852361908E0
1.486506562E1,-6.167175293E-2,1.014889526E-1,9.906100159E0
1.491507263E1,1.282832336E-1,1.996847534E-1,9.746981049E0
1.496507862E1,6.990463257E-2,2.291734314E-1,9.866432648E0
1.501508562E1,-1.960922241E-2,1.082249451E-1,9.764644318E0
1.506509158E1,1.895059204E-1,1.944456482E-1,1.001417542E1
1.511509858E1,-1.080752563E-1,1.094224548E-1,9.953102417E0
1.516510458E1,2.486329651E-1,2.811154175E-1,9.852661285E0
1.521511158E1,-7.214996338E-2,3.906875610E-2,9.701625366E0
1.526511758E1,1.062789917E-1,2.618055725E-1,1.003258713E1
1.531512458E1,1.878593445E-1,2.192939758E-1,9.818232880E0
1.536513058E1,-1.065783691E-1,1.868115234E-1,9.902058563E0
1.541513758E1,5.867797852E-2,2.263293457E-1,9.946067047E0
1.546514358E1,5.837860107E-3,1.703457642E-1,9.695937195E0
1.551515058E1,1.007405090E-1,1.746867371E-1,9.824070740E0
1.556515658E1,-3.158432007E-2,2.038760376E-1,1.002570145E1
1.561516358E1,1.766326904E-1,2.453398132E-1,9.887688446E0
1.566516958E1,-3.637435913E-2,2.447410583E-1,9.935289459E0
1.571517658E1,7.858657837E-2,9.909393311E-2,9.708660736E0
1.576518258E1,-4.191284180E-2,2.186952209E-1,9.993518372E0
1.581518958E1,2.293231201E-1,1.417552185E-1,9.746382294E0
1.586519558E1,-1.276844788E-1,1.540296936E-1,1.014036301E1
1.591520258E1,1.872605896E-1,2.824626160E-1,9.944420471E0
1.596520858E1,-1.496887207E-2,2.644999695E-1,9.885742493E0
1.601521558E1,1.372645569E-1,2.839595032E-1,9.841883698E0
1.606522108E1,-3.876937866E-2,2.803669739E-1,9.722132721E0
1.611522708E1,3.022215271E-1,2.853067017E-1,9.989327087E0
1.616523408E1,1.725910950E-1,1.071771240E-1,9.740394745E0
1.621524008E1,7.214996338E-2,2.104623413E-1,9.732012177E0
1.626524708E1,2.924917603E-1,3.878434753E-1,1.011282028E1
1.631525308E1,-2.189945984E-1,2.173480225E-1,9.733359375E0
1.636525908E1,3.273692322E-1,3.397933960E-1,1.013153137E1
1.641526608E1,-2.257305908E-1,2.047741699E-1,9.862540741E0
1.646527208E1,4.888833618E-1,4.123924255E-1,9.942474518E0
1.651527908E1,-2.323168945E-1,9.505233765E-2,9.619296570E0
1.656528508E1,2.478845215E-1,3.838018799E-1,1.002240829E1
1.661529108E1,1.083746338E-1,2.682421875E-1,9.700128479E0
1.666529808E1,7.185058594E-3,2.335144043E-1,9.835147705E0
1.671530408E1,1.689985657E-1,3.031196594E-1,9.817783813E0
1.676531008E1,-7.454498291E-2,3.622467041E-1,9.875713348E0
1.681531708E1,3.122506714E-1,3.261717224E-1,9.647737427E0
1.686532308E1,-1.302291870E-2,1.797761536E-1,9.841434631E0
1.691533008E1,1.300794983E-1,4.070036316E-1,1.000040405E1
1.696533608E1,1.116677856E-1,2.856060791E-1,9.867480469E0
1.701534208E1,4.924758911E-2,2.981799316E-1,1.000459534E1
1.706534871E1,2.621049500E-1,3.076103210E-1,9.833950195E0
1.711535471E1,-7.050338745E-2,1.196012878E-1,9.790241089E0
1.716536071E1,3.614982605E-1,3.152444458E-1,9.928553467E0
1.721536671E1,-8.113128662E-2,2.760260010E-1,9.830956421E0
1.726537371E1,3.168910217E-1,3.538641357E-1,1.012030472E1
1.731537971E1,-1.992356873E-1,2.568658447E-1,9.818831635E0
1.736538571E1,3.400927734E-1,4.070036316E-1,9.892029419E0
1.741539271E1,6.616241455E-2,3.329077148E-1,9.793683929E0
1.746539871E1,2.034269714E-1,3.803590393E-1,9.820478210E0
1.751540471E1,5.433700562E-2,3.242257690E-1,9.834698639E0
1.756541071E1,-1.107696533E-2,3.543132019E-1,9.889933777E0
1.761541771E1,2.354603577E-1,3.748205566E-1,9.798024902E0
1.766542371E1,1.212478638E-2,2.505789185E-1,9.862540741E0
1.771542971E1,1.740879822E-1,2.963836670E-1,9.665849762E0
1.776543671E1,1.088237000E-1,3.600013733E-1,1.002585114E1
1.781544271E1,1.666035461E-1,5.182223511E-1,9.728120270E0
1.786544871E1,1.911524963E-1,4.047583008E-1,1.020757324E1
1.791545471E1,-1.484912109E-1,2.619552612E-1,9.481133881E0
1.796546071E1,1.669029236E-1,4.432283020E-1,9.962832184E0
1.801546771E1,2.933898926E-2,3.486250305E-1,9.716145172E0
1.806547421E1,9.999206543E-2,3.671864319E-1,9.914333038E0
1.811548021E1,1.898052979E-1,4.105961609E-1,9.699529724E0
1.816548621E1,4.101470947E-2,8.771759033E-2,9.876312103E0
1.821549321E1,1.913021851E-1,4.569996643E-1,9.911488953E0
1.826549921E1,1.672023010E-1,1.766326904E-1,9.735904083E0
