"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.554275542E0,2.733127594E0,1.420510864E1,-4.851513672E1
5.604278542E0,2.531276703E0,1.421105957E1,-4.856433105E1
5.654281542E0,2.559619904E0,1.421492004E1,-4.889147949E1
5.704284542E0,2.686092377E0,1.420214844E1,-4.894348145E1
5.754287542E0,2.612911224E0,1.409608459E1,-4.864050293E1
5.804290542E0,2.623153687E0,1.412777710E1,-4.868780518E1
5.854293542E0,2.561584473E0,1.410086060E1,-4.861096191E1
5.904296542E0,2.556278229E0,1.415792847E1,-4.891857910E1
5.954299542E0,2.588993073E0,1.394964600E1,-4.895391846E1
6.004302542E0,2.490104675E0,1.403488159E1,-4.904583740E1
6.054305542E0,2.603935242E0,1.401084900E1,-4.899139404E1
6.104308542E0,2.566303253E0,1.407675171E1,-4.913800049E1
6.154311542E0,2.556919098E0,1.418388367E1,-4.875030518E1
6.204314542E0,2.608810425E0,1.430778503E1,-4.881970215E1
6.254317208E0,2.628341675E0,1.409567261E1,-4.901348877E1
6.304319208E0,2.659954071E0,1.411308289E1,-4.898590088E1
6.354322208E0,2.791610718E0,1.411752319E1,-4.865203857E1
6.404325208E0,2.785884857E0,1.418031311E1,-4.883605957E1
6.454328208E0,2.810127258E0,1.411399841E1,-4.855139160E1
6.504331208E0,2.725547791E0,1.412091064E1,-4.886218262E1
6.554334208E0,2.645702362E0,1.427153015E1,-4.899157715E1
6.604337208E0,2.600585938E0,1.423815918E1,-4.893774414E1
6.654340208E0,2.541042328E0,1.419104004E1,-4.858416748E1
6.704343208E0,2.733695984E0,1.420054626E1,-4.897955322E1
6.754346208E0,2.555927277E0,1.423381042E1,-4.872186279E1
6.804349208E0,2.809284210E0,1.398315430E1,-4.897509766E1
6.854352208E0,3.073093414E0,1.393534851E1,-4.914025879E1
6.904355208E0,2.815982819E0,1.402636719E1,-4.885717773E1
6.954358208E0,2.868915558E0,1.397383118E1,-4.901202393E1
7.004361208E0,2.716819763E0,1.379493713E1,-4.922680664E1
7.054364208E0,3.051918030E0,1.399850464E1,-4.879095459E1
7.104367208E0,2.938129425E0,1.382254028E1,-4.885412598E1
7.154370208E0,2.759170532E0,1.371095276E1,-4.900079346E1
7.204373208E0,2.829700470E0,1.375379944E1,-4.908471680E1
7.254377167E0,2.755374908E0,1.378666687E1,-4.884222412E1
7.304379167E0,2.520526886E0,1.385176086E1,-4.904431152E1
7.354382167E0,2.613109589E0,1.392979431E1,-4.884417725E1
7.404385167E0,2.751358032E0,1.375691223E1,-4.879785156E1
7.454388167E0,2.766250610E0,1.382376099E1,-4.902783203E1
7.504391167E0,2.745197296E0,1.379591370E1,-4.887005615E1
7.554394167E0,2.739074707E0,1.370658875E1,-4.893048096E1
7.604397167E0,2.682746887E0,1.364759827E1,-4.903216553E1
7.654400167E0,2.694465637E0,1.374528503E1,-4.869049072E1
7.704403167E0,2.700439453E0,1.379647827E1,-4.885418701E1
