"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.762053083E0,8.923187256E-1,1.355342865E1,-5.207055664E1
8.812366083E0,6.952362061E-1,1.330738831E1,-5.199572754E1
8.862679083E0,6.075897217E-1,1.330728912E1,-5.165921021E1
8.912992083E0,7.209320068E-1,1.318222809E1,-5.180029297E1
8.963305083E0,9.058837891E-1,1.350434875E1,-5.169000244E1
9.013618083E0,8.540954590E-1,1.318253326E1,-5.193267822E1
9.063931083E0,6.738739014E-1,1.291973114E1,-5.136416626E1
9.114244083E0,1.084548950E0,1.344859314E1,-5.164569092E1
9.164557083E0,1.269012451E0,1.339057922E1,-5.186163330E1
9.214870083E0,9.744415283E-1,1.306134796E1,-5.178948975E1
9.265182083E0,6.563568115E-1,1.303836060E1,-5.174133301E1
9.315495083E0,1.181594849E0,1.266291809E1,-5.210183716E1
9.365808083E0,9.465637207E-1,1.283108521E1,-5.179595947E1
9.416121083E0,7.646789551E-1,1.276763916E1,-5.202468872E1
9.466434083E0,7.111968994E-1,1.315648651E1,-5.199673462E1
9.516747083E0,6.464843750E-1,1.307296753E1,-5.219665527E1
9.567060083E0,9.204711914E-1,1.319594574E1,-5.197766113E1
9.617373083E0,1.133895874E0,1.304624176E1,-5.193478394E1
9.667686083E0,9.642333984E-1,1.301082611E1,-5.179910278E1
9.717998292E0,7.079772949E-1,1.308769989E1,-5.152359009E1
9.768311292E0,9.286804199E-1,1.325024414E1,-5.145242310E1
9.818624292E0,8.008728027E-1,1.312007141E1,-5.196981812E1
9.868937292E0,1.094528198E0,1.310282898E1,-5.176828003E1
9.919250292E0,1.278350830E0,1.312659454E1,-5.171969604E1
9.969563292E0,7.692718506E-1,1.321927643E1,-5.179125977E1
1.001987629E1,1.064743042E0,1.337886047E1,-5.165768433E1
1.007018929E1,8.834381104E-1,1.284245300E1,-5.177627563E1
1.012050229E1,1.018295288E0,1.302416229E1,-5.197311401E1
1.017081529E1,7.343444824E-1,1.320687866E1,-5.210766602E1
1.022112829E1,7.070617676E-1,1.318307495E1,-5.202157593E1
1.027144129E1,8.681030273E-1,1.302017975E1,-5.199905396E1
1.032175429E1,8.399505615E-1,1.281700897E1,-5.183999634E1
1.037206729E1,3.556213379E-1,1.319031525E1,-5.172512817E1
1.042238029E1,7.709655762E-1,1.313983154E1,-5.191488647E1
1.047269329E1,8.502197266E-1,1.301286316E1,-5.230065918E1
1.052300529E1,7.166137695E-1,1.305388641E1,-5.182113647E1
1.057331829E1,8.139953613E-1,1.303357697E1,-5.256451416E1
1.062363129E1,6.723022461E-1,1.306486511E1,-5.197070312E1
1.067394429E1,5.037689209E-1,1.273010254E1,-5.218441772E1
1.072425767E1,9.812316895E-1,1.322230530E1,-5.190783691E1
1.077457067E1,9.186553955E-1,1.330421448E1,-5.159494019E1
1.082488367E1,7.273559570E-1,1.301519012E1,-5.170675659E1
1.087519667E1,1.087188721E0,1.293460083E1,-5.197424316E1
1.092550967E1,6.746520996E-1,1.306523895E1,-5.178677368E1
1.097582267E1,6.274719238E-1,1.290554047E1,-5.166256714E1
1.102613567E1,4.691772461E-1,1.314801025E1,-5.169064331E1
1.107644867E1,4.425201416E-1,1.291381073E1,-5.155819702E1
1.112676167E1,6.705932617E-1,1.283950806E1,-5.189511108E1
1.117707467E1,7.677612305E-1,1.291417694E1,-5.199481201E1
1.122738767E1,8.112640381E-1,1.308713531E1,-5.182809448E1
1.127770067E1,4.326019287E-1,1.302414703E1,-5.144223022E1
1.132801267E1,5.048217773E-1,1.324330902E1,-5.158444214E1
1.137832567E1,4.089355469E-1,1.290466309E1,-5.182815552E1
1.142863867E1,7.805633545E-1,1.299274445E1,-5.096835327E1
1.147895167E1,4.663543701E-1,1.306207275E1,-5.123397827E1
1.152926467E1,8.669891357E-1,1.275322723E1,-5.151974487E1
1.157957767E1,9.661712646E-1,1.313460541E1,-5.166677856E1
1.162989067E1,6.867218018E-1,1.310374451E1,-5.144747925E1
1.168020367E1,7.629241943E-1,1.310921478E1,-5.119338989E1
1.173051646E1,5.927276611E-1,1.342534637E1,-5.150473022E1
1.178082946E1,4.387664795E-1,1.340265656E1,-5.183361816E1
1.183114246E1,8.245697021E-1,1.321160889E1,-5.171072388E1
1.188145546E1,7.062988281E-1,1.322355652E1,-5.160629272E1
1.193176846E1,7.595977783E-1,1.336954498E1,-5.179013062E1
1.198208046E1,7.785644531E-1,1.310298157E1,-5.148272705E1
1.203239346E1,7.378082275E-1,1.319123077E1,-5.160321045E1
1.208270646E1,5.458679199E-1,1.323844147E1,-5.191671753E1
