"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.106764367E1,1.353186035E-1,4.249662781E-1,9.933942261E0
1.111795567E1,2.432441711E-1,2.957849121E-1,9.814191284E0
1.116826867E1,7.050338745E-2,3.059637451E-1,9.773326263E0
1.121858167E1,2.829116821E-2,3.438349915E-1,9.844278717E0
1.126889467E1,1.043330383E-1,3.327580261E-1,9.959089966E0
1.131920767E1,7.334747314E-3,4.153862000E-1,9.966275024E0
1.136952067E1,3.293151855E-2,4.465214539E-1,1.001821701E1
1.141983367E1,5.987548828E-2,3.159928894E-1,9.796677704E0
1.147014667E1,1.001417542E-1,3.159928894E-1,9.868378601E0
1.152045967E1,1.360670471E-1,3.146456909E-1,9.762848053E0
1.157077267E1,-6.451583862E-2,3.873944092E-1,9.832602997E0
1.162108567E1,7.574249268E-2,3.459306335E-1,9.910441132E0
1.167139867E1,1.495390320E-1,2.695893860E-1,9.951755219E0
1.172171146E1,1.681004333E-1,2.486329651E-1,9.838590546E0
1.177202346E1,1.219963074E-1,3.344046021E-1,9.871522064E0
1.182233646E1,1.884580994E-1,2.956352234E-1,9.810598755E0
1.187264946E1,-8.831634521E-3,3.769161987E-1,9.916428680E0
1.192296246E1,1.121168518E-1,2.697390747E-1,9.853858795E0
1.197327546E1,1.014889526E-1,3.044668579E-1,9.908495178E0
1.202358846E1,2.095642090E-2,3.236270142E-1,9.966275024E0
1.207390146E1,7.095245361E-2,3.091072083E-1,9.892927551E0
1.212421446E1,3.891906738E-3,3.302133179E-1,9.893376617E0
1.217452746E1,-2.874023438E-2,3.079096985E-1,9.869576111E0
1.222484046E1,8.711883545E-2,3.297642517E-1,9.838440857E0
1.227515346E1,2.918930054E-2,3.405418396E-1,9.838440857E0
1.232546546E1,7.065307617E-2,2.942880249E-1,9.873018951E0
1.237577846E1,1.422042847E-2,2.877017212E-1,9.827064514E0
1.242609146E1,5.403762817E-2,3.872447205E-1,9.986183624E0
1.247640446E1,8.292755127E-2,3.384461975E-1,9.865684204E0
1.252671746E1,6.182144165E-2,3.276686096E-1,9.931098175E0
1.257703046E1,5.104385376E-2,3.243754578E-1,9.861193542E0
1.262734346E1,1.290316772E-1,2.357597351E-1,9.804311829E0
1.267765646E1,-5.358856201E-2,3.219804382E-1,9.893526306E0
1.272796946E1,1.856140137E-1,2.842588806E-1,9.833950195E0
1.277828246E1,3.532653809E-2,3.212319946E-1,9.906848602E0
1.282859446E1,5.044509888E-2,3.287164307E-1,9.905202026E0
1.287890746E1,1.062789917E-1,2.369572449E-1,9.839638367E0
1.292922046E1,1.179547119E-1,2.772235107E-1,9.885742493E0
1.297953346E1,1.083746338E-1,2.264790344E-1,9.794582062E0
1.302984646E1,2.514770508E-2,2.454895020E-1,9.925110626E0
1.308015946E1,8.652008057E-2,2.219883728E-1,9.913434906E0
1.313047246E1,3.263214111E-2,2.549198914E-1,9.769733734E0
1.318078546E1,-1.960922241E-2,2.588117981E-1,9.906100159E0
1.323109846E1,6.032455444E-2,2.200424194E-1,9.980345764E0
1.328141046E1,1.031355286E-1,2.230361938E-1,9.920320587E0
1.333172346E1,2.499801636E-2,2.296224976E-1,9.846374359E0
1.338203646E1,7.185058594E-2,1.868115234E-1,9.864037628E0
1.343234946E1,-4.625381470E-2,1.838177490E-1,9.959988098E0
1.348266246E1,4.326004028E-2,2.285746765E-1,9.928703156E0
1.353297546E1,1.272354126E-2,2.486329651E-1,9.814790039E0
1.358328846E1,2.754272461E-2,1.857637024E-1,9.983339539E0
1.363360146E1,1.017883301E-1,1.725910950E-1,9.957443390E0
1.368391446E1,6.765930176E-2,1.865121460E-1,9.719138947E0
1.373422654E1,1.010398865E-1,1.357676697E-1,9.999505920E0
1.378453954E1,3.697311401E-2,1.941462708E-1,9.819280701E0
1.383485254E1,7.619155884E-2,1.957928467E-1,9.812245331E0
1.388516554E1,9.355545044E-2,1.609153748E-1,9.920769653E0
1.393547854E1,-0.000000000E0,1.483415222E-1,9.803862762E0
1.398579154E1,1.663041687E-1,2.142045593E-1,9.846973114E0
1.403610454E1,-2.484832764E-2,2.498304749E-1,9.860594788E0
1.408641654E1,7.499404907E-2,1.854643250E-1,9.894723816E0
1.413672954E1,8.532257080E-3,2.267784119E-1,9.971065063E0
1.418704254E1,1.901046753E-2,2.621049500E-1,9.843679962E0
1.423735554E1,8.876541138E-2,2.163002014E-1,9.955946503E0
1.428766854E1,3.921844482E-2,1.769320679E-1,9.849218445E0
1.433798154E1,3.098556519E-2,2.288740540E-1,9.823172607E0
1.438829454E1,5.568420410E-2,2.537223816E-1,9.828112335E0
1.443860654E1,8.382568359E-3,2.243833923E-1,9.815538483E0
1.448891954E1,6.601272583E-2,2.023791504E-1,9.789043579E0
1.453923254E1,7.439529419E-2,2.347119141E-1,9.807904358E0
1.458954554E1,5.882766724E-2,2.130070496E-1,9.918374634E0
1.463985854E1,8.637039185E-2,2.119592285E-1,9.918823700E0
1.469017154E1,2.215393066E-2,2.306703186E-1,9.941576385E0
1.474048458E1,-3.547622681E-2,2.508782959E-1,9.846823425E0
1.479079658E1,-2.784210205E-2,2.210902405E-1,9.873617706E0
1.484110958E1,-2.409988403E-2,1.793270874E-1,9.813891907E0
